,id,value,first_seen,last_seen,relationship_count,detections_count
0,01143457-51e6-331d-b53d-f93ab93ecdae,103.124.106.203,2020-12-29,2021-03-04,1,0
1,83282f09-4b3d-3d6e-bbb2-00b463da6d98,23.241.147.148,2020-12-29,2021-03-04,0,0
2,6da379a4-4f5b-384e-9b98-41c56962f1f4,98.163.3.110,2020-12-29,2021-03-04,0,0
3,35e040fb-b540-308c-869f-bd00d0751750,97.80.145.87,2020-12-29,2021-03-04,0,0
4,23ae12c6-f637-3a05-a2c5-eb7dad7bcdbc,86.89.21.19,2020-12-29,2021-03-04,0,0
5,0d947382-49e3-3a4e-878d-a5cac4fa9398,86.193.84.30,2020-12-29,2021-03-04,0,0
6,bcba1a42-3a61-3b70-8f39-07845e2539f0,95.185.72.115,2020-12-29,2021-03-04,0,0
7,5082e572-f1ff-385a-b06c-dce7a1a4f024,86.6.235.211,2020-12-29,2021-03-04,0,0
8,d36e12a3-802c-34ad-9e9c-f6cc37e94e38,188.52.102.146,2020-12-29,2021-03-04,0,0
9,0025c475-d56e-3fcd-b175-5a5e1ce0b1da,199.250.200.66,2020-12-29,2021-03-04,0,0
10,7c8b2ff2-d42c-3c2c-bbc5-378271bf9e94,73.123.138.185,2020-12-29,2021-03-04,0,0
11,1332aea2-284e-3290-baa5-3e7c006c82b4,77.207.57.169,2020-12-29,2021-03-04,0,0
12,295e50c7-c0b9-3b63-b3e0-35b10f3a014c,186.85.132.60,2020-12-29,2021-03-04,0,0
13,102a5896-f207-3e55-8871-dd25ef130e85,99.28.141.25,2020-12-29,2021-03-04,0,0
14,3ca0466f-0438-37a0-9262-7716f8009786,78.210.96.94,2020-12-29,2021-03-04,0,0
15,fe02e6a6-50bb-3929-80ef-7ed99e115f14,89.154.230.193,2020-12-29,2021-03-04,0,0
16,08c80f40-5d9a-3227-920d-760dd2715567,184.91.134.29,2020-12-29,2021-03-04,0,0
17,2bd4ea53-92f1-326b-871a-c0370ba85217,181.74.237.9,2020-12-29,2021-03-04,0,0
18,b5d4eb5f-4edc-3f2a-9f34-7e13c2246604,203.107.32.123,2020-12-29,2021-03-04,0,0
19,06e7a9db-e8c5-3044-b110-26c8dc604efe,43.228.71.2,2020-12-29,2021-03-04,0,0
20,55a5721c-6b1a-31b7-a54b-4d4f0141ab7c,86.229.143.202,2020-12-29,2021-03-04,0,0
21,be6ced5d-5015-3bdf-a676-30e755b20826,99.102.169.160,2020-12-29,2021-03-04,0,0
22,db167556-5e3e-3dbe-b9b1-cd9579915f15,174.62.192.195,2020-12-29,2021-03-04,0,0
23,22aa3ac2-798c-33b1-a898-55da8d23ec36,216.40.42.4,2020-12-29,2021-03-04,0,0
24,8edd1b46-f426-3eb9-a13e-9a0e9c68395a,177.236.52.247,2020-12-29,2021-03-04,0,0
25,287c85ed-f15c-3d69-93d6-5a605cee69c4,213.183.33.23,2020-12-29,2021-03-04,0,0
26,708358a3-c73d-31e6-97a0-357a19daad1a,95.151.92.131,2020-12-29,2021-03-04,0,0
27,784f6104-9070-3804-a508-8f837b00e960,24.29.57.252,2020-12-29,2021-03-04,0,0
28,b6d0a0bc-c83d-3755-b7ea-da9f68b95e1a,77.22.250.195,2020-12-29,2021-03-04,0,0
29,4b5a84aa-a908-3ad6-a6af-a51b369fb828,98.249.68.205,2020-12-29,2021-03-04,0,0
30,aa747ff9-18eb-3897-9ff5-080cdf65a9f3,201.232.140.102,2020-12-29,2021-03-04,0,0
31,1ee3785d-a887-3fd3-a9e3-0648e4a26674,98.165.91.105,2020-12-29,2021-03-04,0,0
32,e8191d0c-56ed-30e2-bd76-54c0c78376e8,136.57.5.69,2020-12-29,2021-03-04,0,0
33,455c8583-189d-32a1-971a-f1507e42eef0,72.39.96.64,2020-12-29,2021-03-04,0,0
34,51bad77d-ed49-3c0e-b35c-3ecfa4493606,24.125.162.209,2020-12-29,2021-03-04,0,0
35,ea589640-bb49-3e9b-b13b-07db88a1d238,94.197.120.55,2020-12-29,2021-03-04,0,0
36,f0ee13b4-dab5-35d7-8c4f-781e22a7274f,116.62.241.161,2020-12-29,2021-03-04,0,0
37,5d2d2837-3b36-39ce-ade3-4b38b0a7f9f2,54.87.153.219,2020-12-29,2021-03-04,0,0
38,f2b81458-3c6f-30a8-8aeb-658cd9cc1bd7,188.165.3.58,2020-12-29,2021-03-04,0,0
39,c3cca010-3410-3179-959f-678dbc8094ca,65.74.115.243,2020-12-29,2021-03-04,0,0
40,160ccd0f-222f-33b8-b3c2-f254a26dc5b1,158.69.206.42,2020-12-29,2021-03-04,0,0
