,id,value,first_seen,last_seen,relationship_count,detections_count
0,5d934d25-a354-3e72-a590-f832a9c79bfe,turp.pw,2020-08-05,2021-03-04,3,16
1,23bd2ba6-9175-3412-8e08-65ef0ca7c26e,46.183.217.132,2015-07-07,2013-08-09,14,6
2,b34b9d52-c4db-362d-aa21-14f46d817c3d,swio.pw,2020-08-05,2021-03-04,3,4
3,d44d26ad-8650-3eea-bf1d-39cd74cd97da,zugh.us,2020-08-05,2021-03-04,3,2
4,07ebcb18-8206-3a22-883d-56758a0d8ba8,7086dd6a001e339ae9f789301de2fda398964799094587d55a8860199cdcbcba,2020-08-05,2021-03-04,2,2
5,795cb5e0-79e8-3791-8185-547994ef5db4,ecuadorenvivo.co,2021-01-12,2021-03-04,2,0
6,41580961-3553-38f5-b465-e9a7014dd5df,176.123.26.42,2021-01-12,2021-03-04,2,0
7,bc9a1055-3832-364a-84b3-11018656fcc8,8506064925a774a8d11d9fac374eb86a,2020-08-05,2021-03-04,3,0
8,7ece9fff-a2c4-37f3-b0ed-ea9f980ac922,62.76.42.14,2021-01-12,2021-03-04,1,0
9,af27f89f-75ef-3f36-a0c7-d9bb8e8c8ecb,32.107.168.116,2021-01-12,2021-03-04,1,0
10,d8c0eaa9-c90e-3804-a234-2845660da453,ywaiukgcmmmcwqmk.org,2021-01-12,2021-03-04,1,0
11,4d611b48-8d20-3950-bf6d-9ffbf2bf9269,%USERPROFILE%/AppData/Local/Microsoft/Media/dn,2021-01-12,2021-03-04,1,0
12,6aee9cd9-1394-363e-8191-38886bcb3e86,66f13964c87fc6fe093a9d8cc0de0bf2b3bdaea9564210283fdb97a1dde9893b,2021-01-12,2021-03-04,1,0
13,ab33b1e4-af20-32ec-99c1-6a877a4deacc,982e2abc769f579a8753e8b2f65e0b0bbfbbdbae14b88f0ed697b635a9f4e38f,2021-01-12,2021-03-04,1,0
14,b9167a23-d7b3-3116-962c-91842875156f,e2b81bed4472087dca00bee18acbce04,2019-04-11,2021-03-04,3,0
15,de286021-005d-3ece-a1dc-cc6422ce8e32,184.154.184.83,2021-01-12,2021-03-04,2,0
16,ef614557-b680-393c-882f-4b676e3a8e87,96.9.69.131,2021-01-12,2021-03-04,1,0
17,0824d592-09bf-3e01-9190-46d7e7d60fe4,65ae12426a34a5802ca0c627aa4749206e2a75b57d9f938c69112af9be55be1a,2020-08-07,2021-03-04,6,0
18,549ae7d7-224b-312e-9ad0-a4b1d677cbf2,7b10bf8187100cdc2e1d59536c19454b0c0da46f,2021-01-12,2021-03-04,2,0
19,c2aa585a-73a5-3e1c-845d-2ef5006eebb9,fcb54818faf6884d2e00cfd5fec49872,2021-01-12,2021-03-04,2,0
20,6f4dd67c-ac0a-325c-8b05-25fb4aa802c4,anybookreader.de,2020-12-17,2021-03-04,2,0
21,66710610-3ed7-313f-b531-94e0d55853c1,58a74dceb2022cd8a358b92acd1b48a5e01c524c3b0195d7033e4bd55eff4495,2021-02-11,2021-03-04,1,0
22,1f44e0d8-12d9-38e1-94b8-2ad7cefd3e9f,20a8590c440142a748e48b4ed90e2302,2021-01-12,2021-03-04,1,0
23,f61c31d8-24b5-3c7e-bdd0-6862787df96f,69afcd4b38bf84069c4f520e65ef7df31411d69819d88716cbb5e17178e5b5b0,2021-01-12,2021-03-04,1,0
24,90ed2af6-0ae7-3fc4-af11-911c16048ff1,e13bf40bbdbba86d638c04e0d72de268,2021-01-12,2021-03-04,3,0
25,b8c4d6cc-2bf6-3223-88a2-286c319e6f9a,digitallaut.at/typo3temp/viewpage.php,2021-01-12,2021-03-04,2,0
26,841932d2-1d88-378c-ae79-cd3b739f2bae,allbody@googese.com,2021-01-12,2021-03-04,1,0
27,6d3fd776-af14-378c-b242-2fa71619840b,23.27.127.254,2021-01-12,2021-03-04,1,0
28,86e89f23-5bf8-3f75-8f6d-6b358f034953,efaa5a87afbb18fc63dbf4527ca34b6d376f14414aa1e7eb962485c45bf38372,2021-01-12,2021-03-04,1,0
29,cd456468-1915-3e6b-825a-b4e166ceb4bb,c16529dbc2987be3ac628b9b413106e5749999ed,2021-01-12,2021-03-04,3,0
30,ed2040c9-801d-333b-9f00-54266cc42345,48576d904ca6a41f7be143e6aa30a01e9577dde2f744ebe2a43579c05550cc4e,2020-08-11,2021-03-04,6,0
31,1cc2b7b8-22b1-3c19-bdbc-dae6363a84e8,6e92b206fb95f1e58e078571fe46c8d36632bf9f265af2cea59c8f1c5e4fab7f,2021-01-12,2021-03-04,1,0
32,fc27c0cb-2b94-3ab5-a966-3a36db371aa3,atalent.fi,2020-12-17,2021-03-04,3,0
33,09e98183-ced8-3f5a-a53f-840a72960791,wychowanieprzedszkolne.pl,2020-12-17,2021-03-04,3,0
34,9582a5ad-a91a-37c1-a059-bfc735ba5581,gmaeesguiokeyqwo.org,2021-01-12,2021-03-04,1,0
35,057116b3-f16a-3370-af5a-24969131a87e,e85c1ef38c39b6087ea9ac8171ddd1416b9a5306,2021-01-12,2021-03-04,2,0
36,a629ab00-69d7-3fad-8f01-32cc5a82f2ef,185.254.188.11,2021-01-12,2021-03-04,1,0
37,62bfa43f-ed0b-331d-9772-e17c62400ebe,beautychance.se,2021-01-12,2021-03-04,1,0
38,e208d9e4-255a-39f7-89b0-87726aa80967,antenanavi.com,2020-12-17,2021-03-04,4,0
39,3fe68247-64ff-357b-b517-31ff31a5bcda,93.115.27.57,2021-01-12,2021-03-04,1,0
40,c8b042ab-a663-3a6f-88e6-0ce5d9291fde,a30e9d09d5962e56f958944acdd7de33e369acfade437743308202f9c975b52a,2021-01-12,2021-03-04,1,0
41,8ac310ec-d017-3b9d-9be5-4c5c4b7974d7,a16d8cf9a7a52e5c2ad6519766ae6b92,2017-06-23,2021-03-04,2,0
42,85f05e37-7a57-36fd-a483-8f898d71eea7,nancy-informatique.fr,2020-12-17,2021-03-04,2,0
43,e9eeb640-a2af-363e-b568-9bc7f25a6d15,45ee9aa9f8ef3a9cc0b4b250766e7a9368a30934,2021-01-12,2021-03-04,2,0
44,aea711a6-0eb4-34f7-bbad-10a0723a55d4,d5a68a111c359a22965206e7ac7d602d92789dd1aa3f0e0c8d89412fc84e24a5,2020-10-15,2021-03-04,7,0
45,4a670851-3df4-3e1d-8ac2-87913463950d,ecpmedia.vn,2020-12-17,2021-03-04,3,0
46,46c1b836-6e0e-3910-95cf-19c3d4420f9f,2cdd6aabb71fdb244baa313ebba13f06bcad2612,2021-01-12,2021-03-04,2,0
47,486ba007-9e6b-30c5-a8d8-75d196166e5a,93ee1c714fad9cc1bf2cba19f3de9d1e83c665e2,2021-01-12,2021-03-04,2,0
48,8fbcebe7-da01-3e91-9ec1-1ec4674bb5b9,581fe44b3da62d2155452beeda2f20f63fa042271a97cd8e016b4f6f6f8b575f,2020-08-05,2021-03-04,2,0
49,a3f0ee45-c9a4-3e3f-b789-3aaff85a0812,office.alltosec.com,2021-01-12,2021-03-04,1,0
50,60fb9378-5241-33aa-98b1-77c8630fc429,b4a012e465f845bc7ac8b441bec2d2c3,2021-01-12,2021-03-04,1,0
51,eb6400ef-7d3c-3c5e-9d42-3678feff2d91,http://koliast.com/file.php,2021-01-12,2021-03-04,1,0
