,id,value,first_seen,last_seen,relationship_count,detections_count
0,b8a5a182-ebae-3a4e-909c-358ea24ef560,71.43.2.122,2020-08-05,2021-03-03,1,0
1,49f66bfd-cd05-367b-adff-c0226a969714,123.193.229.177,2020-08-05,2021-03-03,1,0
2,80489294-b6cc-3eed-b5d0-4c210d3c3906,211.50.54.124,2020-08-19,2021-03-03,1,0
3,2d09f6d3-15e9-35dc-b770-b6917b404130,49.213.214.130,2020-08-12,2021-03-03,1,0
4,3eb7e91c-86ff-31eb-b5d6-c6b2ffd27b94,82.80.154.214,2020-10-27,2021-03-03,1,0
5,bf5188e4-d23e-394b-8f1c-86e2ad428660,78.188.168.64,2020-09-30,2021-03-04,0,0
6,3c848e2c-9e89-3b6d-903f-418714350caa,98.159.110.69,2020-12-16,2021-02-20,1,0
7,9b1d2f78-1f28-3ddb-87d1-6ea1987385e9,69.75.227.186,2020-08-19,2021-01-12,0,0
8,186e677e-471c-3949-8b12-649d59d8ad87,149.3.73.242,2020-08-23,2021-01-12,0,0
9,f4a41890-9a53-3ba0-9b8a-5ba9b8b0134d,1.246.223.103,2020-12-19,2021-01-12,0,0
10,84f4b6e1-3f79-3560-987d-1befe3783b19,1.246.222.245,2020-12-19,2021-01-12,0,0
11,a9abcce8-9f12-3bbd-8d2e-6e270b700966,74.195.115.176,2020-09-11,2021-01-12,0,0
12,5c98c535-fd47-3a25-91d0-e0ec0572ffb2,89.120.17.179,2021-01-12,2021-01-12,0,0
13,e3952137-4a6e-39a7-bdf6-00b25e8e85d9,223.197.242.160,2020-09-26,2021-03-04,0,0
14,439e7f09-bf0e-373d-822c-7f3475941250,45.95.168.144,2020-08-05,2021-01-12,2,0
15,624d21fc-d4d7-3e25-9f49-7c2a715065be,1.246.222.134,2020-10-03,2021-01-12,0,0
16,4bc2168d-efce-35e7-bf95-4e873b5093de,72.229.230.118,2020-11-06,2021-01-12,0,0
17,8c90a488-c401-3f54-87fa-9fd4392a5067,39.117.31.162,2021-01-12,2021-01-12,0,0
18,5b282f0d-d402-3809-bda7-707609cc7d4f,88.249.244.180,2021-01-02,2021-01-12,0,0
